object,tool_or_capability,version,operation_type,state_dependencies,proposed_method,llm_role,fidelity_gap,verification_method,priority,evidence
google-cloud,bigquery_run_query,7df9ca22115002e0cea75deec595492c520df3e1,R/W/E,catalog typed_rows IAM jobs clock,real_MCP plus verified_GoogleSQL_engine,seed_content_only,SQL coverage and statistics approximate; 5-row text projection,typed_oracle plus real_BQ_differential,P1,docs/mcp-mock/services/google-cloud.md:322; S:124-168; B:43-120
google-cloud,bigquery_dataset_list_create_info,7df9ca22115002e0cea75deec595492c520df3e1,R/W/A,dataset project location ACL,shared_catalog plus SDK_API,descriptions_at_initialization,SDK and raw MCP schema runtime snapshot pending,catalog_invariants plus SDK_MCP_cross_read,P1,docs/mcp-mock/services/google-cloud.md:323; S:171-259
google-cloud,bigquery_load_csv_data,7df9ca22115002e0cea75deec595492c520df3e1,W/E,local_file schema typed_rows load_job,CSV_parser plus query_backend,seed_business_rows,autodetect and write disposition require differential,independent_CSV_and_typed_snapshot,P1,docs/mcp-mock/services/google-cloud.md:324; S:262-289; B:155-229
google-cloud,bigquery_export_table,7df9ca22115002e0cea75deec595492c520df3e1,W/E,table GCS IAM location extract_job,query_backend plus shared_blob_API,none,CSV_only wrapper; nested export and location constraints,SDK_download_parse plus source_table_oracle,P1,docs/mcp-mock/services/google-cloud.md:325; S:292-326; B:286-339
google-cloud,bigquery_list_jobs_cancel_job,7df9ca22115002e0cea75deec595492c520df3e1,R/W/A,job owner states clock,deterministic_job_scheduler,none,wrapper missing created/error and cancel return ignored,job_state_history plus SDK_differential,P2,docs/mcp-mock/services/google-cloud.md:326; S:329-378; B:341-403
google-cloud,storage_bucket_list_create_info_size,7df9ca22115002e0cea75deec595492c520df3e1,R/W/A,bucket IAM location objects,local_GCS_API plus metadata_rules,seed_labels_only,emulator metadata and global name scope gaps,SDK_MCP_cross_read plus byte_aggregation,P1,docs/mcp-mock/services/google-cloud.md:327; S:382-419; S:511-535; S:633-655
google-cloud,storage_objects_list_upload_download_delete_copy_move,7df9ca22115002e0cea75deec595492c520df3e1,R/W,blob versions ACL local_files,local_GCS_API plus content_addressed_blob,blob_text_initialization,20-object projection; move partial commit; local path behavior,hash_range_reads plus faulted_move_history,P1,docs/mcp-mock/services/google-cloud.md:328; S:422-508; S:561-608; G:707-743
google-cloud,storage_generate_signed_url,7df9ca22115002e0cea75deec595492c520df3e1,R/delegation,signer method resource expiry clock,local_HTTP plus deterministic_signature_validation,none,fake_gcs_server skips signature and expiry checks,tamper_expiry_method plus HTTP_MCP_cross_read,P1,docs/mcp-mock/services/google-cloud.md:329; S:538-558; G:401-435
google-cloud,storage_enable_versioning_set_bucket_lifecycle,7df9ca22115002e0cea75deec595492c520df3e1,W/A,bucket versions retention clock,versioned_state plus lifecycle_scheduler,none,SetStorageClass missing class; lifecycle timing approximate,history_invariants plus SDK_generation_differential,P2,docs/mcp-mock/services/google-cloud.md:330; S:611-630; S:658-682; G:477-548
google-cloud,logging_write_read_list_delete,7df9ca22115002e0cea75deec595492c520df3e1,R/W,log entries payload filter IAM index_clock,deterministic_logging_API_filter_index,initial_log_content,wrapper payload and allowlist projection bugs; indexing delay,independent_filter_oracle plus SDK_cross_read,P1,docs/mcp-mock/services/google-cloud.md:331; S:686-860; L:47-242
google-cloud,logging_sinks_create_list_delete,7df9ca22115002e0cea75deec595492c520df3e1,R/W/A,sink filter writerIdentity GCS_BQ destination,config_API plus persistent_delivery_outbox,seed_business_context,source destination examples differ from API; no automatic backfill,writer_IAM_negative_tests plus destination_read,P2,docs/mcp-mock/services/google-cloud.md:332; S:863-927; L:487-599
google-cloud,logging_export_logs_to_bigquery,7df9ca22115002e0cea75deec595492c520df3e1,E_currently_fails,dataset_allowlist,strict_profile_argument_error; fixed_profile_future,none,wrapper passes unsupported arguments to manager,static_signature_check plus zero_mutation_assertion,P0,docs/mcp-mock/services/google-cloud.md:333; S:930-955; L:819-853
